"county","tract","zcta","CountyName","ZIPName","hus20","afact"
"County code","Tract","ZIP census tabulation area","County name","ZIP Code name","Total housing units (2020 Census)","tract-to-zcta allocation factor"
"09001","0223.00","06902","Fairfield CT","Stamford, CT",2521,1 
"09001","0224.00","06902","Fairfield CT","Stamford, CT",919,1 
"09001","0301.00","06820","Fairfield CT","Darien, CT",1196,1 
"09001","0302.00","06820","Fairfield CT","Darien, CT",1159,1 
"09001","0303.00","06820","Fairfield CT","Darien, CT",1524,1 
"09001","0304.00","06820","Fairfield CT","Darien, CT",1478,1 
"09001","0305.00","06820","Fairfield CT","Darien, CT",1908,1 
"09001","0351.01","06840","Fairfield CT","New Canaan, CT",1657,1 
"09001","0351.02","06840","Fairfield CT","New Canaan, CT",1684,1 
"09001","0352.00","06840","Fairfield CT","New Canaan, CT",1126,1 
"09001","0353.00","06840","Fairfield CT","New Canaan, CT",1296,0.9977 
"09001","0353.00","06907","Fairfield CT","Stamford, CT",3,0.0023 
"09001","0354.00","06840","Fairfield CT","New Canaan, CT",1736,1 
"09001","0425.00","06851","Fairfield CT","Norwalk, CT",1493,1 
"09001","0426.00","06851","Fairfield CT","Norwalk, CT",1874,1 
"09001","0427.00","06850","Fairfield CT","Norwalk, CT",782,0.2827 
"09001","0427.00","06851","Fairfield CT","Norwalk, CT",1984,0.7173 
"09001","0428.00","06851","Fairfield CT","Norwalk, CT",1789,1 
"09001","0429.00","06850","Fairfield CT","Norwalk, CT",674,1 
"09001","0430.00","06850","Fairfield CT","Norwalk, CT",1254,1 
"09001","0431.00","06840","Fairfield CT","New Canaan, CT",3,0.0016 
"09001","0431.00","06850","Fairfield CT","Norwalk, CT",969,0.5281 
"09001","0431.00","06854","Fairfield CT","Norwalk, CT",863,0.4703 
"09001","0432.00","06850","Fairfield CT","Norwalk, CT",229,0.19 
"09001","0432.00","06854","Fairfield CT","Norwalk, CT",976,0.81 
"09001","0433.00","06850","Fairfield CT","Norwalk, CT",1195,1 
"09001","0434.00","06851","Fairfield CT","Norwalk, CT",2054,1 
"09001","0435.00","06851","Fairfield CT","Norwalk, CT",1011,0.9835 
"09001","0435.00","06880","Fairfield CT","Westport, CT",17,0.0165 
"09001","0436.00","06851","Fairfield CT","Norwalk, CT",1295,1 
"09001","0437.00","06850","Fairfield CT","Norwalk, CT",1637,0.8344 
"09001","0437.00","06851","Fairfield CT","Norwalk, CT",325,0.1656 
"09001","0438.00","06850","Fairfield CT","Norwalk, CT",2228,0.6689 
"09001","0438.00","06854","Fairfield CT","Norwalk, CT",1103,0.3311 
"09001","0439.00","06853","Fairfield CT","Norwalk, CT",66,0.0312 
"09001","0439.00","06854","Fairfield CT","Norwalk, CT",2049,0.9688 
"09001","0440.00","06854","Fairfield CT","Norwalk, CT",2436,1 
"09001","0441.00","06854","Fairfield CT","Norwalk, CT",1995,1 
"09001","0442.00","06855","Fairfield CT","Norwalk, CT",1904,1 
"09001","0443.00","06855","Fairfield CT","Norwalk, CT",1855,1 
"09001","0444.00","06854","Fairfield CT","Norwalk, CT",1257,0.9992 
"09001","0444.00","06855","Fairfield CT","Norwalk, CT",1,0.0008 
"09001","0445.00","06853","Fairfield CT","Norwalk, CT",90,0.0666 
"09001","0445.00","06854","Fairfield CT","Norwalk, CT",1262,0.9334 
"09001","0446.00","06853","Fairfield CT","Norwalk, CT",1392,0.9393 
"09001","0446.00","06854","Fairfield CT","Norwalk, CT",90,0.0607 
"09001","0451.01","06897","Fairfield CT","Wilton, CT",1384,1 
"09001","0451.02","06897","Fairfield CT","Wilton, CT",2056,1 
"09001","0452.00","06897","Fairfield CT","Wilton, CT",1075,1 
"09001","0453.00","06897","Fairfield CT","Wilton, CT",809,1 
"09001","0454.00","06897","Fairfield CT","Wilton, CT",1243,1 
"09001","0501.00","06880","Fairfield CT","Westport, CT",1487,1 
"09001","0502.00","06880","Fairfield CT","Westport, CT",1661,1 
"09001","0503.01","06880","Fairfield CT","Westport, CT",1532,1 
"09001","0503.02","06880","Fairfield CT","Westport, CT",1527,1 
"09001","0504.00","06855","Fairfield CT","Norwalk, CT",4,0.0036 
"09001","0504.00","06880","Fairfield CT","Westport, CT",1116,0.9964 
"09001","0505.00","06880","Fairfield CT","Westport, CT",1880,1 
"09001","0506.00","06880","Fairfield CT","Westport, CT",1360,1 
"09001","0551.00","06883","Fairfield CT","Weston, CT",2061,1 
"09001","0552.00","06883","Fairfield CT","Weston, CT",1610,1 
"09001","0601.00","06825","Fairfield CT","Fairfield, CT",1011,1 
"09001","0602.00","06824","Fairfield CT","Fairfield, CT",138,0.0833 
"09001","0602.00","06825","Fairfield CT","Fairfield, CT",1519,0.9167 
"09001","0603.00","06824","Fairfield CT","Fairfield, CT",936,0.6744 
"09001","0603.00","06825","Fairfield CT","Fairfield, CT",452,0.3256 
"09001","0604.00","06824","Fairfield CT","Fairfield, CT",1530,0.9586 
