"county","tract","cousub20","CountyName","MCDName","hus20","afact"
"County code","Tract","County subdivision (2020)","County name","County subdivision / MCD name","Total housing units (2020 Census)","tract-to-cousub20 allocation factor"
"09001","0434.00","56060","Fairfield CT","Norwalk town, Fairfield CT",2054,1 
"09001","0435.00","56060","Fairfield CT","Norwalk town, Fairfield CT",1028,1 
"09001","0436.00","56060","Fairfield CT","Norwalk town, Fairfield CT",1295,1 
"09001","0437.00","56060","Fairfield CT","Norwalk town, Fairfield CT",1962,1 
"09001","0438.00","56060","Fairfield CT","Norwalk town, Fairfield CT",3331,1 
"09001","0439.00","56060","Fairfield CT","Norwalk town, Fairfield CT",2115,1 
"09001","0440.00","56060","Fairfield CT","Norwalk town, Fairfield CT",2436,1 
"09001","0441.00","56060","Fairfield CT","Norwalk town, Fairfield CT",1995,1 
"09001","0442.00","56060","Fairfield CT","Norwalk town, Fairfield CT",1904,1 
"09001","0443.00","56060","Fairfield CT","Norwalk town, Fairfield CT",1855,1 
"09001","0444.00","56060","Fairfield CT","Norwalk town, Fairfield CT",1258,1 
"09001","0445.00","56060","Fairfield CT","Norwalk town, Fairfield CT",1352,1 
"09001","0446.00","56060","Fairfield CT","Norwalk town, Fairfield CT",1482,1 
"09001","0451.01","86370","Fairfield CT","Wilton town, Fairfield CT",1384,1 
"09001","0451.02","86370","Fairfield CT","Wilton town, Fairfield CT",2056,1 
"09001","0452.00","86370","Fairfield CT","Wilton town, Fairfield CT",1075,1 
"09001","0453.00","86370","Fairfield CT","Wilton town, Fairfield CT",809,1 
"09001","0454.00","86370","Fairfield CT","Wilton town, Fairfield CT",1243,1 
"09001","0501.00","83500","Fairfield CT","Westport town, Fairfield CT",1487,1 
"09001","0502.00","83500","Fairfield CT","Westport town, Fairfield CT",1661,1 
"09001","0503.01","83500","Fairfield CT","Westport town, Fairfield CT",1532,1 
"09001","0503.02","83500","Fairfield CT","Westport town, Fairfield CT",1527,1 
"09001","0504.00","83500","Fairfield CT","Westport town, Fairfield CT",1120,1 
"09001","0505.00","83500","Fairfield CT","Westport town, Fairfield CT",1880,1 
"09001","0506.00","83500","Fairfield CT","Westport town, Fairfield CT",1360,1 
"09001","0551.00","83430","Fairfield CT","Weston town, Fairfield CT",2061,1 
"09001","0552.00","83430","Fairfield CT","Weston town, Fairfield CT",1610,1 
"09001","0601.00","26620","Fairfield CT","Fairfield town, Fairfield CT",1011,1 
"09001","0602.00","26620","Fairfield CT","Fairfield town, Fairfield CT",1657,1 
"09001","0603.00","26620","Fairfield CT","Fairfield town, Fairfield CT",1388,1 
"09001","0604.00","26620","Fairfield CT","Fairfield town, Fairfield CT",1596,1 
"09001","0605.00","26620","Fairfield CT","Fairfield town, Fairfield CT",1007,1 
"09001","0606.00","26620","Fairfield CT","Fairfield town, Fairfield CT",1107,1 
"09001","0607.00","26620","Fairfield CT","Fairfield town, Fairfield CT",1898,1 
"09001","0608.00","26620","Fairfield CT","Fairfield town, Fairfield CT",793,1 
"09001","0609.00","26620","Fairfield CT","Fairfield town, Fairfield CT",926,1 
"09001","0610.00","26620","Fairfield CT","Fairfield town, Fairfield CT",1704,1 
"09001","0611.00","26620","Fairfield CT","Fairfield town, Fairfield CT",1330,1 
"09001","0612.00","26620","Fairfield CT","Fairfield town, Fairfield CT",880,1 
"09001","0613.00","26620","Fairfield CT","Fairfield town, Fairfield CT",1230,1 
"09001","0614.00","26620","Fairfield CT","Fairfield town, Fairfield CT",1371,1 
"09001","0615.00","26620","Fairfield CT","Fairfield town, Fairfield CT",1861,1 
"09001","0616.00","26620","Fairfield CT","Fairfield town, Fairfield CT",2223,1 
"09001","0701.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",2788,1 
"09001","0702.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1858,1 
"09001","0703.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",477,1 
"09001","0704.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",610,1 
"09001","0705.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",761,1 
"09001","0706.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1748,1 
"09001","0709.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1002,1 
"09001","0710.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1296,1 
"09001","0711.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1631,1 
"09001","0712.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",2028,1 
"09001","0713.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1501,1 
"09001","0714.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1394,1 
"09001","0716.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",880,1 
"09001","0719.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1646,1 
"09001","0720.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1350,1 
"09001","0721.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",2739,1 
"09001","0722.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1743,1 
"09001","0723.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1900,1 
"09001","0724.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",956,1 
"09001","0725.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",2357,1 
"09001","0726.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",3090,1 
"09001","0727.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1335,1 
"09001","0728.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1973,1 
"09001","0729.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1588,1 
"09001","0730.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",705,1 
"09001","0731.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1856,1 
"09001","0732.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1974,1 
"09001","0733.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1484,1 
"09001","0734.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1482,1 
"09001","0735.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",1343,1 
"09001","0736.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",888,1 
"09001","0737.00","08070","Fairfield CT","Bridgeport town, Fairfield CT",2051,1 
