"state","place","county","cousub20","stab","CountyName","MCDName","PlaceName","hus20","afact"
"State code","Place code","County code","County subdivision (2020)","State abbr.","County name","County subdivision / MCD name","Place name","Total housing units (2020 Census)","place-to-cousub20 allocation factor"
"09","83990","09003","68940","CT","Hartford CT","Simsbury town, Hartford CT","West Simsbury CDP, CT",936,1 
"09","84970","09003","84900","CT","Hartford CT","Wethersfield town, Hartford CT","Wethersfield CDP, CT",11809,1 
"09","85810","09015","86790","CT","Windham CT","Windham town, Windham CT","Willimantic CDP, CT",6891,1 
"09","86380","09001","86370","CT","Fairfield CT","Wilton town, Fairfield CT","Wilton Center CDP, CT",737,1 
"09","87140","09003","87070","CT","Hartford CT","Windsor Locks town, Hartford CT","Windsor Locks CDP, CT",5815,1 
"09","87350","09005","86440","CT","Litchfield CT","Winchester town, Litchfield CT","Winsted CDP, CT",3819,1 
"09","87455","09015","88190","CT","Windham CT","Woodstock town, Windham CT","Witches Woods CDP, CT",79,1 
"09","87980","09005","87910","CT","Litchfield CT","Woodbury town, Litchfield CT","Woodbury Center CDP, CT",728,1 
"09","88050","09009","47535","CT","New Haven CT","Milford town, New Haven CT","Woodmont borough, CT",782,1 
"09","99999","09001","04720","CT","Fairfield CT","Bethel town, Fairfield CT","[not in a place]",3046,0.0054 
"09","99999","09001","08980","CT","Fairfield CT","Brookfield town, Fairfield CT","[not in a place]",6145,0.0108 
"09","99999","09001","18850","CT","Fairfield CT","Darien town, Fairfield CT","[not in a place]",2823,0.005 
"09","99999","09001","23890","CT","Fairfield CT","Easton town, Fairfield CT","[not in a place]",2442,0.0043 
"09","99999","09001","26620","CT","Fairfield CT","Fairfield town, Fairfield CT","[not in a place]",20028,0.0352 
"09","99999","09001","33620","CT","Fairfield CT","Greenwich town, Fairfield CT","[not in a place]",5445,0.0096 
"09","99999","09001","48620","CT","Fairfield CT","Monroe town, Fairfield CT","[not in a place]",3721,0.0065 
"09","99999","09001","50580","CT","Fairfield CT","New Canaan town, Fairfield CT","[not in a place]",4695,0.0083 
"09","99999","09001","50860","CT","Fairfield CT","New Fairfield town, Fairfield CT","[not in a place]",3028,0.0053 
"09","99999","09001","52980","CT","Fairfield CT","Newtown town, Fairfield CT","[not in a place]",5632,0.0099 
"09","99999","09001","63480","CT","Fairfield CT","Redding town, Fairfield CT","[not in a place]",3302,0.0058 
"09","99999","09001","63970","CT","Fairfield CT","Ridgefield town, Fairfield CT","[not in a place]",3829,0.0067 
"09","99999","09001","68310","CT","Fairfield CT","Sherman town, Fairfield CT","[not in a place]",1573,0.0028 
"09","99999","09001","74190","CT","Fairfield CT","Stratford town, Fairfield CT","[not in a place]",17483,0.0307 
"09","99999","09001","77200","CT","Fairfield CT","Trumbull town, Fairfield CT","[not in a place]",3150,0.0055 
"09","99999","09001","83430","CT","Fairfield CT","Weston town, Fairfield CT","[not in a place]",3277,0.0058 
"09","99999","09001","86370","CT","Fairfield CT","Wilton town, Fairfield CT","[not in a place]",4679,0.0082 
"09","99999","09003","02060","CT","Hartford CT","Avon town, Hartford CT","[not in a place]",7713,0.0136 
"09","99999","09003","04300","CT","Hartford CT","Berlin town, Hartford CT","[not in a place]",4288,0.0075 
"09","99999","09003","05910","CT","Hartford CT","Bloomfield town, Hartford CT","[not in a place]",8640,0.0152 
"09","99999","09003","10100","CT","Hartford CT","Burlington town, Hartford CT","[not in a place]",3628,0.0064 
"09","99999","09003","12270","CT","Hartford CT","Canton town, Hartford CT","[not in a place]",1928,0.0034 
"09","99999","09003","22070","CT","Hartford CT","East Granby town, Hartford CT","[not in a place]",2183,0.0038 
"09","99999","09003","24800","CT","Hartford CT","East Windsor town, Hartford CT","[not in a place]",3434,0.006 
"09","99999","09003","25990","CT","Hartford CT","Enfield town, Hartford CT","[not in a place]",5424,0.0095 
