"zcta","county","cousub20","CountyName","MCDName","ZIPName","hus20","afact"
"ZIP census tabulation area","County code","County subdivision (2020)","County name","County subdivision / MCD name","ZIP Code name","Total housing units (2020 Census)","zcta-to-cousub20 allocation factor"
"06752","09005","65930","Litchfield CT","Roxbury town, Litchfield CT","Bridgewater, CT",3,0.0035 
"06753","09005","17240","Litchfield CT","Cornwall town, Litchfield CT","Cornwall, CT (PO boxes)",63,1 
"06754","09005","17240","Litchfield CT","Cornwall town, Litchfield CT","Cornwall Bridge, CT",293,0.3472 
"06754","09005","40290","Litchfield CT","Kent town, Litchfield CT","Cornwall Bridge, CT",38,0.045 
"06754","09005","67960","Litchfield CT","Sharon town, Litchfield CT","Cornwall Bridge, CT",20,0.0237 
"06754","09005","79510","Litchfield CT","Warren town, Litchfield CT","Cornwall Bridge, CT",493,0.5841 
"06755","09005","52630","Litchfield CT","New Milford town, Litchfield CT","Gaylordsville, CT",471,1 
"06756","09005","17240","Litchfield CT","Cornwall town, Litchfield CT","Goshen, CT",3,0.0018 
"06756","09005","32290","Litchfield CT","Goshen town, Litchfield CT","Goshen, CT",1648,0.9982 
"06757","09005","40290","Litchfield CT","Kent town, Litchfield CT","Kent, CT",1205,1 
"06758","09005","49460","Litchfield CT","Morris town, Litchfield CT","Lakeside, CT",24,1 
"06759","09005","17240","Litchfield CT","Cornwall town, Litchfield CT","Litchfield, CT",61,0.0222 
"06759","09005","32290","Litchfield CT","Goshen town, Litchfield CT","Litchfield, CT",28,0.0102 
"06759","09005","43370","Litchfield CT","Litchfield town, Litchfield CT","Litchfield, CT",2628,0.956 
"06759","09005","76570","Litchfield CT","Torrington town, Litchfield CT","Litchfield, CT",28,0.0102 
"06759","09005","79510","Litchfield CT","Warren town, Litchfield CT","Litchfield, CT",4,0.0015 
"06762","09009","46940","New Haven CT","Middlebury town, New Haven CT","Middlebury, CT",3047,1 
"06763","09005","49460","Litchfield CT","Morris town, Litchfield CT","Morris, CT",1229,1 
"06770","09009","03250","New Haven CT","Beacon Falls town, New Haven CT","Naugatuck, CT",7,0.0005 
"06770","09009","49950","New Haven CT","Naugatuck town, New Haven CT","Naugatuck, CT",13243,0.9969 
"06770","09009","80070","New Haven CT","Waterbury town, New Haven CT","Naugatuck, CT",34,0.0026 
"06776","09005","52630","Litchfield CT","New Milford town, Litchfield CT","New Milford, CT",11404,0.9998 
"06776","09005","79720","Litchfield CT","Washington town, Litchfield CT","New Milford, CT",2,0.0002 
"06777","09005","79510","Litchfield CT","Warren town, Litchfield CT","New Preston Marble Dale, CT",293,0.2731 
"06777","09005","79720","Litchfield CT","Washington town, Litchfield CT","New Preston Marble Dale, CT",780,0.7269 
"06778","09005","43370","Litchfield CT","Litchfield town, Litchfield CT","Northfield, CT",523,1 
"06779","09005","80490","Litchfield CT","Watertown town, Litchfield CT","Oakville, CT",3565,1 
"06782","09005","60750","Litchfield CT","Plymouth town, Litchfield CT","Plymouth, CT",988,1 
"06783","09005","65930","Litchfield CT","Roxbury town, Litchfield CT","Roxbury, CT",1160,1 
"06784","09001","68310","Fairfield CT","Sherman town, Fairfield CT","Sherman, CT",1834,0.9807 
"06784","09005","52630","Litchfield CT","New Milford town, Litchfield CT","Sherman, CT",36,0.0193 
"06785","09005","40290","Litchfield CT","Kent town, Litchfield CT","South Kent, CT",444,1 
"06786","09005","60750","Litchfield CT","Plymouth town, Litchfield CT","Terryville, CT",4158,1 
"06787","09005","43370","Litchfield CT","Litchfield town, Litchfield CT","Thomaston, CT",27,0.008 
"06787","09005","60750","Litchfield CT","Plymouth town, Litchfield CT","Thomaston, CT",5,0.0015 
"06787","09005","75730","Litchfield CT","Thomaston town, Litchfield CT","Thomaston, CT",3340,0.9905 
"06790","09005","51350","Litchfield CT","New Hartford town, Litchfield CT","Torrington, CT",9,0.0005 
"06790","09005","76570","Litchfield CT","Torrington town, Litchfield CT","Torrington, CT",16998,0.9964 
"06790","09005","86440","Litchfield CT","Winchester town, Litchfield CT","Torrington, CT",52,0.003 
"06791","09005","37280","Litchfield CT","Harwinton town, Litchfield CT","Harwinton, CT",2313,0.9902 
"06791","09005","43370","Litchfield CT","Litchfield town, Litchfield CT","Harwinton, CT",9,0.0039 
"06791","09005","76570","Litchfield CT","Torrington town, Litchfield CT","Harwinton, CT",14,0.006 
"06793","09005","79720","Litchfield CT","Washington town, Litchfield CT","Washington, CT",675,1 
"06794","09005","52630","Litchfield CT","New Milford town, Litchfield CT","Washington Depot, CT",17,0.0276 
"06794","09005","79720","Litchfield CT","Washington town, Litchfield CT","Washington Depot, CT",599,0.9724 
"06795","09005","04930","Litchfield CT","Bethlehem town, Litchfield CT","Watertown, CT",8,0.0014 
"06795","09005","80490","Litchfield CT","Watertown town, Litchfield CT","Watertown, CT",5572,0.9986 
"06796","09005","17240","Litchfield CT","Cornwall town, Litchfield CT","West Cornwall, CT",557,0.8108 
"06796","09005","67960","Litchfield CT","Sharon town, Litchfield CT","West Cornwall, CT",130,0.1892 
"06798","09005","87910","Litchfield CT","Woodbury town, Litchfield CT","Woodbury, CT",4584,1 
"06801","09001","04720","Fairfield CT","Bethel town, Fairfield CT","Bethel, CT",7926,1 
"06804","09001","08980","Fairfield CT","Brookfield town, Fairfield CT","Brookfield, CT",7116,0.9882 
"06804","09001","18500","Fairfield CT","Danbury town, Fairfield CT","Brookfield, CT",82,0.0114 
"06804","09001","52980","Fairfield CT","Newtown town, Fairfield CT","Brookfield, CT",3,0.0004 
"06807","09001","33620","Fairfield CT","Greenwich town, Fairfield CT","Cos Cob, CT",2845,1 
"06810","09001","04720","Fairfield CT","Bethel town, Fairfield CT","Danbury, CT",54,0.0025 
"06810","09001","18500","Fairfield CT","Danbury town, Fairfield CT","Danbury, CT",21518,0.9975 
"06811","09001","18500","Fairfield CT","Danbury town, Fairfield CT","Danbury, CT",11962,1 
"06812","09001","50860","Fairfield CT","New Fairfield town, Fairfield CT","New Fairfield, CT",5635,1 
"06820","09001","18850","Fairfield CT","Darien town, Fairfield CT","Darien, CT",7265,1 
"06824","09001","26620","Fairfield CT","Fairfield town, Fairfield CT","Fairfield, CT",12194,1 
"06825","09001","26620","Fairfield CT","Fairfield town, Fairfield CT","Fairfield, CT",7935,1 
"06830","09001","33620","Fairfield CT","Greenwich town, Fairfield CT","Greenwich, CT",11040,1 
"06831","09001","33620","Fairfield CT","Greenwich town, Fairfield CT","Greenwich, CT",6086,0.9859 
"06831","09001","73070","Fairfield CT","Stamford town, Fairfield CT","Greenwich, CT",87,0.0141 
"06840","09001","50580","Fairfield CT","New Canaan town, Fairfield CT","New Canaan, CT",7499,0.9996 
"06840","09001","56060","Fairfield CT","Norwalk town, Fairfield CT","New Canaan, CT",3,0.0004 
"06850","09001","56060","Fairfield CT","Norwalk town, Fairfield CT","Norwalk, CT",8968,1 
"06851","09001","56060","Fairfield CT","Norwalk town, Fairfield CT","Norwalk, CT",11825,1 
"06853","09001","56060","Fairfield CT","Norwalk town, Fairfield CT","Norwalk, CT",1548,1 
"06854","09001","56060","Fairfield CT","Norwalk town, Fairfield CT","Norwalk, CT",12031,1 
"06855","09001","56060","Fairfield CT","Norwalk town, Fairfield CT","Norwalk, CT",3760,0.9989 
"06855","09001","83500","Fairfield CT","Westport town, Fairfield CT","Norwalk, CT",4,0.0011 
"06870","09001","33620","Fairfield CT","Greenwich town, Fairfield CT","Old Greenwich, CT",2801,1 
"06877","09001","63480","Fairfield CT","Redding town, Fairfield CT","Ridgefield, CT",20,0.0021 
"06877","09001","63970","Fairfield CT","Ridgefield town, Fairfield CT","Ridgefield, CT",9506,0.9979 
"06878","09001","33620","Fairfield CT","Greenwich town, Fairfield CT","Riverside, CT",2896,1 
"06880","09001","26620","Fairfield CT","Fairfield town, Fairfield CT","Westport, CT",34,0.0032 
"06880","09001","56060","Fairfield CT","Norwalk town, Fairfield CT","Westport, CT",17,0.0016 
"06880","09001","83500","Fairfield CT","Westport town, Fairfield CT","Westport, CT",10563,0.9952 
"06883","09001","83430","Fairfield CT","Weston town, Fairfield CT","Weston, CT",3671,1 
"06890","09001","26620","Fairfield CT","Fairfield town, Fairfield CT","Southport, CT",1819,1 
"06896","09001","63480","Fairfield CT","Redding town, Fairfield CT","Redding, CT",3642,1 
"06897","09001","63480","Fairfield CT","Redding town, Fairfield CT","Wilton, CT",2,0.0003 
"06897","09001","86370","Fairfield CT","Wilton town, Fairfield CT","Wilton, CT",6567,0.9997 
"06901","09001","73070","Fairfield CT","Stamford town, Fairfield CT","Stamford, CT",6508,1 
"06902","09001","33620","Fairfield CT","Greenwich town, Fairfield CT","Stamford, CT",9,0.0003 
"06902","09001","73070","Fairfield CT","Stamford town, Fairfield CT","Stamford, CT",28328,0.9997 
"06903","09001","73070","Fairfield CT","Stamford town, Fairfield CT","Stamford, CT",5296,1 
"06905","09001","73070","Fairfield CT","Stamford town, Fairfield CT","Stamford, CT",8939,1 
"06906","09001","73070","Fairfield CT","Stamford town, Fairfield CT","Stamford, CT",3966,1 
"06907","09001","50580","Fairfield CT","New Canaan town, Fairfield CT","Stamford, CT",3,0.0008 
"06907","09001","73070","Fairfield CT","Stamford town, Fairfield CT","Stamford, CT",3829,0.9992 
